,Age,Gender,State,Category,Brand,Quantity,Price,Discount,Product Rating,high_return_risk
4/11/2025 21:36,58,Female,Haryana,Shirts,Nike,5,409,30,1,Yes
4/11/2025 21:36,29,Male,Uttar Pradesh,Sleepwear,Nike,3,700,25,1,Yes
4/11/2025 21:36,32,Female,Manipur,Jeans,Zudio,2,898,20,3,No
4/11/2025 21:36,53,Male,Arunachal Pradesh,Jackets,Zudio,6,607,10,3.5,Yes
4/11/2025 21:36,25,Female,Goa,Jackets,Adidas,5,568,10,1,No
4/11/2025 21:36,62,Female,Jharkhand,Shorts,Zudio,6,615,25,1,Yes
4/11/2025 21:36,56,Female,Jharkhand,Skirts,Levie's,5,652,10,2,No
4/11/2025 21:36,67,Male,West Bengal,Shirts,Adidas,4,951,25,3.5,No
4/11/2025 21:36,32,Female,Assam,Shirts,Nike,2,909,10,3,No
4/11/2025 21:36,37,Female,Kerala,Activewear,Zudio,7,758,25,2,No
4/11/2025 21:36,62,Female,Haryana,Shorts,Nike,5,759,25,3.5,No
4/11/2025 21:36,32,Male,Nagaland,Dresses,Zudio,4,839,15,1.5,No
4/11/2025 21:36,51,Female,Andhra Pradesh,Suits,Zudio,3,611,30,3,No
4/11/2025 21:36,43,Female,Goa,Jeans,Levie's,3,953,30,1,Yes
4/11/2025 21:36,70,Male,Tamil Nadu,Skirts,H&M,1,767,25,1.5,No
4/11/2025 21:36,35,Male,Gujarat,Ethnic Wear,Puma,1,724,10,2,Yes
4/11/2025 21:36,67,Female,Tamil Nadu,Skirts,H&M,1,825,25,1.5,Yes
4/11/2025 21:36,60,Male,Haryana,Ethnic Wear,Levie's,7,963,25,3,No
4/11/2025 21:36,35,Female,Sikkim,Skirts,H&M,6,806,30,2.5,Yes
4/11/2025 21:36,50,Male,Madhya Pradesh,T-shirts,H&M,1,922,25,3,Yes
4/11/2025 21:36,19,Male,Uttarakhand,Dresses,Zudio,5,485,10,1.5,No
4/11/2025 21:36,46,Female,Rajasthan,T-shirts,Puma,2,830,30,4,No
4/11/2025 21:36,65,Female,Maharashtra,Dresses,Zudio,2,518,30,4,No
4/11/2025 21:36,56,Female,Manipur,T-shirts,Pantaloons,7,870,10,1,Yes
4/11/2025 21:36,41,Male,Jharkhand,Activewear,Adidas,3,419,10,3.5,Yes
4/11/2025 21:36,38,Female,Odisha,Suits,H&M,2,745,20,2.5,No
4/11/2025 21:36,68,Male,Kerala,Suits,Raymond,7,754,15,4.5,Yes
4/11/2025 21:36,50,Female,Himachal Pradesh,Formal Wear,Raymond,4,524,20,3.5,No
4/11/2025 21:36,26,Female,Chhattisgarh,Jackets,Nike,2,681,25,1.5,Yes
4/11/2025 21:36,65,Female,Arunachal Pradesh,T-shirts,Nike,2,820,10,1.5,No
4/11/2025 21:36,67,Male,Himachal Pradesh,Shirts,Adidas,4,616,20,2,Yes
4/11/2025 21:36,70,Female,Assam,Ethnic Wear,Nike,4,888,25,2.5,No
4/11/2025 21:36,69,Male,Telangana,Formal Wear,Zudio,5,410,25,1.5,Yes
4/11/2025 21:36,35,Female,Bihar,Trousers,Raymond,5,578,15,5,Yes
4/11/2025 21:36,21,Male,Bihar,Sweaters,Puma,2,789,20,5,Yes
4/11/2025 21:36,64,Male,Tamil Nadu,Activewear,Zudio,5,947,10,2,Yes
4/11/2025 21:36,41,Female,Odisha,Ethnic Wear,H&M,3,892,10,2,No
4/11/2025 21:36,61,Male,Manipur,Dresses,Adidas,1,982,15,4,No
4/11/2025 21:36,68,Female,Andhra Pradesh,Sleepwear,Adidas,1,635,25,2,No
4/11/2025 21:36,64,Female,Tripura,Activewear,Adidas,2,764,10,5,Yes
4/11/2025 21:36,54,Female,Tripura,Sweaters,Levie's,4,900,25,3,Yes
4/11/2025 21:36,49,Male,Tamil Nadu,Suits,Pantaloons,1,683,20,4,Yes
4/11/2025 21:36,33,Female,Himachal Pradesh,Jeans,Pantaloons,6,855,15,2.5,Yes
4/11/2025 21:36,49,Male,Goa,Jackets,Raymond,2,412,15,2,Yes
4/11/2025 21:36,49,Male,Karnataka,T-shirts,H&M,1,747,30,1,No
4/11/2025 21:36,40,Male,Bihar,Dresses,Puma,1,819,20,2.5,Yes
4/11/2025 21:36,43,Female,Madhya Pradesh,Jackets,H&M,3,910,20,2.5,No
4/11/2025 21:36,32,Female,Uttarakhand,Suits,Puma,1,958,25,2.5,Yes
4/11/2025 21:36,32,Male,Maharashtra,Ethnic Wear,Adidas,2,892,15,5,Yes
4/11/2025 21:36,49,Female,Odisha,Skirts,Levie's,4,525,15,5,Yes
4/11/2025 21:36,56,Male,Telangana,Sleepwear,Zudio,2,409,30,1.5,No
4/11/2025 21:36,64,Male,Tripura,Shirts,Zudio,3,474,25,1,No
